Bonobo_ID	envi	place	sex	age	storage_time	hour	min	Neo_SG
male25	zoo	zoo9	male	1705	1382	10	0	533.8
female66	zoo	zoo9	female	4205	1382	14	30	398.6
female67	zoo	zoo9	female	5848	1382	14	0	589.0
female68	zoo	zoo9	female	2391	969	14	0	404.8
female64	zoo	zoo9	female	5123	974	9	30	479.4
male36	zoo	zoo9	male	445	961	7	45	1237.3
female69	zoo	zoo9	female	4905	999	7	45	390.9
female66	zoo	zoo9	female	4532	1055	9	0	206.3
female65	zoo	zoo9	female	4217	969	14	30	306.1
female70	zoo	zoo9	female	1232	954	10	30	571.6
female69	zoo	zoo9	female	6251	979	7	45	213.2
male34	zoo	zoo9	male	1011	978	7	45	263.4
female3_Jan	zoo	zoo9	female	1161	973	9	30	6608.4
female71	zoo	zoo9	female	719	961	7	45	326.5
female63	zoo	zoo9	female	1009	970	15	0	360.0
female29	zoo	zoo9	female	6033	974	9	20	325.6
female62	zoo	zoo9	female	3183	974	9	20	473.6
female48	zoo	zoo3	female	4466	1879	14	59	93.9
male35	zoo	zoo3	male	2572	1879	14	27	1264.6
male21	zoo	zoo3	male	4796	1878	14	46	2325.8
female72	zoo	zoo2	female	4070	1562	12	0	1099.9
female55	zoo	zoo6	female	3404	1521	9	0	4086.0
female52	zoo	zoo6	female	2419	1512	8	40	322.5
female44	zoo	zoo6	female	5606	1505	8	0	135.2
male44	zoo	zoo6	male	702	1494	8	0	571.7
male31	zoo	zoo1	male	4578	1452	11	0	78.2
female10a	zoo	zoo5	female	6410	1285	11	0	445.3
female73	zoo	zoo5	female	2191	1285	12	5	159.0
male27	zoo	zoo5	male	3166	1285	12	50	423.8
male21	zoo	zoo3	male	5767	907	15	5	140.7
male25	zoo	zoo9	male	2113	974	9	40	149.9
female36	zoo	zoo1	female	734	1862	7	35	295.4
male30	zoo	zoo1	male	5822	1862	7	30	62.8
male20	zoo	zoo1	male	2980	1862	7	35	121.3
male31	zoo	zoo1	male	4167	1863	8	30	42.1
female53	zoo	zoo1	female	2310	1863	7	50	139.0
female37	zoo	zoo1	female	3632	1863	7	35	84.6
male35	zoo	zoo3	male	2433	2018	9	33	83.6
female49	zoo	zoo3	female	5624	2020	15	19	243.6
female50	zoo	zoo3	female	1699	1879	14	47	159.8
male21	zoo	zoo3	male	4796	1878	14	46	551.5
female48	zoo	zoo3	female	4102	2243	14	13	156.5
female47	zoo	zoo3	female	5521	2243	14	28	1425.4
female52	zoo	zoo6	female	2219	1712	8	30	142.5
female57	zoo	zoo6	female	6203	1716	9	30	110.4
female55	zoo	zoo6	female	3213	1712	8	30	121.7
female51	zoo	zoo6	female	3496	1713	7	32	210.8
male44	zoo	zoo6	male	484	1712	9	0	125.1
female44	zoo	zoo6	female	5398	1713	7	25	229.0
female36	zoo	zoo1	female	1144	1452	8	0	47.8
female53	zoo	zoo1	female	2721	1452	8	0	98.5
male20	zoo	zoo1	male	3390	1452	8	0	135.8
female37	zoo	zoo1	female	4043	1452	8	0	163.8
male30	zoo	zoo1	male	6233	1451	8	0	87.8
female69	zoo	zoo9	female	4522	1382	7	45	68.4
female46	zoo	zoo3	female	2881	907	14	15	58.7
female56	zoo	zoo3	female	3934	907	15	0	70.1
male35	zoo	zoo3	male	3544	907	15	0	97.2
female74	zoo	zoo3	female	474	911	11	0	727.2
male21	zoo	zoo3	male	4656	2018	9	38	167.0
female48	zoo	zoo3	female	4327	2018	9	25	62.9
male21	zoo	zoo3	male	4655	2019	9	11	154.7
female46	zoo	zoo3	female	1771	2017	9	49	76.6
female50	zoo	zoo3	female	1558	2020	15	25	138.6
male26	zoo	zoo6	male	593	1712	7	30	167.7
male31	zoo	zoo1	male	4406	1624	9	0	81.8
female36	zoo	zoo1	female	971	1625	7	40	442.2
female53	zoo	zoo1	female	2548	1625	8	0	201.7
male20	zoo	zoo1	male	3217	1625	8	0	281.6
male30	zoo	zoo1	male	6059	1625	7	45	76.4
female37	zoo	zoo1	female	3870	1625	8	0	86.5
female38	zoo	zoo2	female	4206	1563	11	40	74.3
female75	zoo	zoo2	female	2579	1563	11	40	52.8
female39	zoo	zoo2	female	4842	1563	12	30	60.4
female72	zoo	zoo2	female	4069	1563	11	30	51.5
male29	zoo	zoo2	male	1967	1563	13	45	16.1
male16	zoo	zoo2	male	4927	1562	10	0	117.1
female73	zoo	zoo5	female	2051	1425	15	40	133.2
male27	zoo	zoo5	male	3026	1425	16	0	366.2
female76	zoo	zoo5	female	1328	464	11	20	26.8
female73	zoo	zoo5	female	3012	464	11	0	170.8
male13	zoo	zoo8	male	6015	456	15	0	105.0
female58	zoo	zoo8	female	4207	815	15	0	859.9
male13	zoo	zoo8	male	5831	640	10	0	26.1
female58	zoo	zoo8	female	4383	639	13	0	66.4
female60	zoo	zoo8	female	1842	639	10	45	99.5
female58	zoo	zoo8	female	4567	455	15	30	65.8
female59	zoo	zoo8	female	2253	1097	13	15	684.4
male17	zoo	zoo8	male	4787	817	11	28	89.5
female77	zoo	zoo8	female	382	1219	15	45	195.9
female60	zoo	zoo8	female	1517	964	15	15	142.9
male43	zoo	zoo8	male	1806	1242	16	30	79.7
female59	zoo	zoo8	female	2710	640	14	5	54.3
male17	zoo	zoo8	male	4617	987	20	0	70.5
female60	zoo	zoo8	female	1503	978	14	0	94.2
male24	zoo	zoo8	male	3105	796	10	15	113.5
female58	zoo	zoo8	female	3930	1092	13	15	243.6
male43	zoo	zoo8	male	2061	987	13	5	43.4
female58	zoo	zoo8	female	4036	986	12	50	166.0
male24	zoo	zoo8	male	2914	987	20	0	108.3
female53	zoo	zoo1	female	2340	1833	7	40	22.3
male30	zoo	zoo1	male	5851	1833	7	25	21.5
female37	zoo	zoo1	female	3612	1883	7	35	161.9
male20	zoo	zoo1	male	2950	1892	7	45	96.8
female36	zoo	zoo1	female	692	1904	7	40	220.1
male31	zoo	zoo1	male	4167	1863	8	30	24.0
female53	zoo	zoo1	female	1903	2270	7	35	29.5
female36	zoo	zoo1	female	349	2247	7	27	228.0
male20	zoo	zoo1	male	2586	2256	8	0	130.4
female37	zoo	zoo1	female	3239	2256	7	50	83.5
male44	zoo	zoo6	male	1976	220	9	30	188.9
male33	zoo	zoo2	male	1678	785	10	57	85.4
female78	zoo	zoo2	female	900	785	9	0	141.5
female72	zoo	zoo2	female	5092	540	14	0	82.6
female39	zoo	zoo2	female	5865	540	14	0	70.3
female38	zoo	zoo2	female	5229	540	14	0	121.1
male29	zoo	zoo2	male	2990	540	14	0	109.1
female79	zoo	zoo2	female	3016	540	14	0	200.8
female80	zoo	zoo2	female	1214	540	14	0	129.5
female46	zoo	zoo2	female	3248	540	14	0	122.3
female81	zoo	zoo2	female	1794	539	9	45	118.4
male32	zoo	zoo2	male	4255	539	9	45	7149.8
female39	zoo	zoo2	female	5866	539	9	45	263.4
female74	zoo	zoo2	female	846	539	9	45	245.4
female78	zoo	zoo2	female	1146	539	9	45	155.7
female46	zoo	zoo2	female	3409	379	14	30	88.1
female74	zoo	zoo2	female	1006	379	15	37	20.3
female72	zoo	zoo2	female	5255	377	9	9	29.2
female38	zoo	zoo2	female	5392	377	9	9	179.0
male33	zoo	zoo2	male	2086	377	9	9	82.9
female39	zoo	zoo2	female	6028	377	9	9	90.3
female40	zoo	zoo4	female	5551	535	9	30	57.1
female56	zoo	zoo3	female	3934	907	15	0	52.9
male14	zoo	zoo4	male	1593	535	9	15	120.6
